No.,Kode Obat,Nama Obat,Golongan Obat,Kategori Obat,Frekuensi,Jumlah Terjual,Satuan,Total Nominal,Persentase,Persentase Kumulatif,Kategori Pareto,Stok,Kebutuhan Perperiode,Jumlah Pengadaan,Harga Beli,Nama Supllier,Status,Transaksi Terakhir
1381,0000250,Salicyl Gajah Menthol,Obat Bebas Terbatas,,3,"3,00",Botol,"26.819,82","0,01%","98,54%",Pareto C,3,"3,00","0,00","6.750,00",Barotama Mulya Perkasa,Stock On Hand,30 Sep 2022 
1382,S000000000044,FIESTA GRAPE 3S,Obat Bebas Terbatas,,1,"2,00",PC,"26.731,02","0,01%","98,55%",Pareto C,3,"2,00","-1,00","10.091,00",AMS (Antarmitra Sembada),Over Stock,10 Sep 2022 
1383,P000000000052,Pure Kids Itchy Cream,Obat Bebas Terbatas,,1,"1,00",Botol,"26.490,15","0,01%","98,56%",Pareto C,2,"1,00","-1,00","20.000,00",Langkah Insan Mandiri PT,Over Stock,26 Sep 2022 
1384,D000000000034,Diabetasol Sweetener 25s,Obat Bebas Terbatas,,1,"1,00",Box,"26.490,15","0,01%","98,57%",Pareto C,1,"1,00","0,00","20.000,00",AMS (Antarmitra Sembada),Stock On Hand,02 Sep 2022 
1385,Lososa2,Lososa Garam 250 Gr,Obat Bebas Terbatas,,1,"1,00",Botol,"26.490,15","0,01%","98,58%",Pareto C,1,"1,00","0,00","20.000,00",Adikara Kelapa,Stock On Hand,13 Sep 2022 
1386,MT3A01,Telon 3 Anak 100 cc,Obat Bebas Terbatas,,1,"1,00",Botol,"26.490,15","0,01%","98,58%",Pareto C,5,"1,00","-4,00","20.000,00",Mulya Wibawa PT,Over Stock,11 Sep 2022 
1387,0000641,Celana Sunat all Size,Alat Kesehatan,,1,"1,00",PC,"26.490,15","0,01%","98,59%",Pareto C,16,"1,00","-15,00","20.000,00",Dwidaya Langgeng Sentosa,Over Stock,18 Sep 2022 
1388,KEJIB,KEJIBELING/kap,Obat Bebas Terbatas,,2,"20,00",KAPSUL,"26.484,60","0,01%","98,60%",Pareto C,60,"20,00","-40,00","1.000,00",Sumber Agung Sentosa,Over Stock,13 Sep 2022 
1389,Z000000000019,Zenovit Strip 10s,Obat Bebas Terbatas,,1,"1,00",Strip,"26.307,00","0,01%","98,61%",Pareto C,2,"1,00","-1,00","20.000,00",Penta Valen,Over Stock,08 Sep 2022 
1390,0001639,Grahabion Tab/Strip,Obat Bebas Terbatas,,1,"4,00",Strip,"26.253,72","0,01%","98,62%",Pareto C,0,"4,00","4,00","5.000,00",,Potential Lost,29 Sep 2022 
1391,EM,EM Kapsul Dus,Obat Bebas Terbatas,,1,"1,00",DOS,"26.251,50","0,01%","98,63%",Pareto C,5,"1,00","-4,00","19.820,00",Muda Jaya Sukses,Over Stock,12 Sep 2022 
1392,KONSI24,Minyak Wangi Spray LAMOR BESAR(K),Konsinyasi,,1,"1,00",Botol,"26.251,50","0,01%","98,63%",Pareto C,30,"1,00","-29,00","22.000,00",L'amor parfumes,Over Stock,27 Sep 2022 
1393,PRED,Prednison 5,Obat Bebas Terbatas,,6,"120,00",Tablet,"25.872,99","0,01%","98,64%",Pareto C,140,"120,00","-20,00","110,00",Sumber Agung Sentosa,Over Stock,21 Sep 2022 
1394,ANTI01,ANTIMO ANAK Jeruk,Obat Bebas Terbatas,,3,"18,00",SACHET,"25.756,44","0,01%","98,65%",Pareto C,58,"18,00","-40,00","1.050,00",Barotama Mulya Perkasa,Over Stock,19 Sep 2022 
1395,0000296,Hydro Coco 250ml,Minuman,,4,"4,00",Botol,"25.683,18","0,01%","98,66%",Pareto C,7,"4,00","-3,00","4.954,00",Enseval Putra Megatranding PT,Over Stock,17 Sep 2022 
1396,0001492,Infus Set Dewasa Onemed,Alat Kesehatan,,2,"5,00",PC,"25.676,52","0,01%","98,67%",Pareto C,5,"5,00","0,00","3.693,69",Via Medica Alkes,Stock On Hand,23 Sep 2022 
1397,OBT2203150001,Farsifen PLUS Strip,Obat Bebas Terbatas,,5,"6,00",Strip,"25.623,24","0,01%","98,67%",Pareto C,10,"6,00","-4,00","3.298,70",Sumber Agung Sentosa,Over Stock,18 Sep 2022 
1398,C000000000084,C Lyteers MD,Obat Bebas Terbatas,,1,"1,00",Strip,"25.496,70","0,01%","98,68%",Pareto C,2,"1,00","-1,00","19.250,00",KDE (Ka Dua Empat PT),Over Stock,16 Sep 2022 
1399,Renali,Renalyte,Obat Bebas Terbatas,,1,"1,00",Botol,"25.443,42","0,01%","98,69%",Pareto C,2,"1,00","-1,00","19.000,00",KDE (Ka Dua Empat PT),Over Stock,27 Sep 2022 
1400,OBT2207120001,FREZZA MEDICATED SPRAY,,,1,"1,00",Botol,"25.430,10","0,01%","98,70%",Pareto C,2,"1,00","-1,00","19.200,00",Marga Nusantara PT,Over Stock,21 Sep 2022 
1401,dragh2,Dragon H2,Obat Bebas Terbatas,,2,"3,00",PC,"25.342,41","0,01%","98,71%",Pareto C,3,"3,00","0,00","7.000,00",Mulya Wibawa PT,Stock On Hand,21 Sep 2022 
1402,SBP1,SAN-B- PLEX,Obat Bebas Terbatas,,1,"1,00",Botol,"25.298,01","0,01%","98,71%",Pareto C,1,"1,00","0,00","19.100,00",BSP (Bina San Prima),Stock On Hand,07 Sep 2022 
1403,0000298,Blood Lancet One Med 100s,Obat Bebas Terbatas,,2,"2,00",Box,"25.170,36","0,01%","98,72%",Pareto C,3,"2,00","-1,00","9.460,00",Mutiara Mas Medika,Over Stock,23 Sep 2022 
1404,0000992,Reco TM,Obat Keras,,2,"2,00",Botol,"25.139,28","0,01%","98,73%",Pareto C,3,"2,00","-1,00","7.500,00",Langkah Insan Mandiri PT,Over Stock,18 Sep 2022 
1405,0001063,Susu Ultra Mocca 250 ml,Minuman,,4,"4,00",Botol,"25.137,06","0,01%","98,74%",Pareto C,0,"4,00","4,00","4.774,77",Lain-lain suplier,Potential Lost,13 Sep 2022 
1406,M000000000031,Mycorine Cr 5 gr,Obat Bebas Terbatas,,1,"1,00",Tube,"24.939,48","0,01%","98,75%",Pareto C,1,"1,00","0,00","19.000,00",AMS (Antarmitra Sembada),Stock On Hand,29 Sep 2022 
1407,0000188,Flamar Emulgel 20 gr,Obat Keras,,1,"1,00",Tube,"24.913,95","0,01%","98,75%",Pareto C,5,"1,00","-4,00","16.800,00",BSP (Bina San Prima),Over Stock,04 Sep 2022 
1408,SPASM,Spasminal,Obat Keras,,2,"20,00",Tablet,"24.886,20","0,01%","98,76%",Pareto C,53,"20,00","-33,00","800,00",Sumber Agung Sentosa,Over Stock,16 Sep 2022 
1409,METF03,METFORMIN 850 MG/10s,Obat Keras,,4,"4,00",Strip,"24.852,90","0,01%","98,77%",Pareto C,14,"4,00","-10,00","3.600,00",Barotama Mulya Perkasa,Over Stock,23 Sep 2022 
1410,MY0000028,My Baby Telon Plus HIJAU 90 mL,Obat Bebas Terbatas,,1,"1,00",Botol,"24.681,96","0,01%","98,78%",Pareto C,6,"1,00","-5,00","18.635,00",Langkah Insan Mandiri PT,Over Stock,05 Sep 2022 
1411,0000564,K3 Anak Kaleng Orange 250ml,Minuman,,4,"4,00",Botol,"24.593,16","0,01%","98,78%",Pareto C,2,"4,00","2,00","4.600,00",Adikara Kelapa,Under Stock,25 Sep 2022 
1412,0000625,Garam Inggris/Sachetsach,Obat Bebas Terbatas,,3,"11,00",SACHET,"24.492,15","0,01%","98,79%",Pareto C,19,"11,00","-8,00","1.604,80",Muda Jaya Sukses,Over Stock,14 Sep 2022 
1413,PNSC2,Kassa Perban  5 CM all,Alat Kesehatan,,4,"43,00",PC,"24.421,11","0,01%","98,80%",Pareto C,20,"43,00","23,00","425,00",Dwidaya Langgeng Sentosa,Under Stock,21 Sep 2022 
1414,ASPI,Aspilet cheweble,Obat Bebas Terbatas,,2,"30,00",Tablet,"24.420,00","0,01%","98,81%",Pareto C,111,"30,00","-81,00","555,00",Sumber Agung Sentosa,Over Stock,07 Sep 2022 
1415,0000453,K3 Anak Kaleng Straw 250 ml,Minuman,,3,"4,00",Botol,"24.351,18","0,01%","98,81%",Pareto C,7,"4,00","-3,00","4.583,00",Muda Jaya Sukses,Over Stock,29 Sep 2022 
1416,LactacydOdor,LACTACYD ODOR HIJAU 60ML,Obat Bebas Terbatas,,1,"1,00",Botol,"24.334,53","0,01%","98,82%",Pareto C,0,"1,00","1,00","18.370,00",,Potential Lost,01 Sep 2022 
1417,OBT2207150002,BOOST D 1000IU,,,1,"10,00",Tablet,"24.109,20","0,01%","98,83%",Pareto C,170,"10,00","-160,00","1.820,00",PT Parit Padang Global,Over Stock,22 Sep 2022 
1418,C000000000096,Cimory Mini Yogurt Drink All var,Minuman,,5,"10,00",Botol,"24.087,00","0,01%","98,84%",Pareto C,3,"10,00","7,00","2.000,00",Lain-lain Suplayer,Under Stock,28 Sep 2022 
1419,POT10,POT Kosmetik 12.5 gr,Obat Bebas Terbatas,,5,"5,00",PC,"24.031,50","0,01%","98,84%",Pareto C,25,"5,00","-20,00","3.000,00",Dwidaya Langgeng Sentosa,Over Stock,22 Sep 2022 
1420,OBT2201240001,Phenerica Syr 100ml,,,1,"1,00",Botol,"23.952,69","0,01%","98,85%",Pareto C,1,"1,00","0,00","18.000,00",Distriversa Buana Mas PT,Stock On Hand,16 Sep 2022 
1421,CURV,Curvit Tablet,Obat Bebas Terbatas,,1,"10,00",Tablet,"23.842,80","0,01%","98,86%",Pareto C,80,"10,00","-70,00","1.800,00",Muda Jaya Sukses,Over Stock,05 Sep 2022 
1422,T000000000040,Tolak Angin Bebas Gula/Banded 3s,Obat Bebas Terbatas,,2,"2,00",BANDED,"23.789,52","0,01%","98,87%",Pareto C,6,"2,00","-3,98","9.256,02",Victory Indo Partnership PT,Over Stock,27 Sep 2022 
1423,CHITI,Bronchitin Exp Syr,Obat Bebas Terbatas,,2,"2,00",Botol,"23.773,98","0,01%","98,87%",Pareto C,2,"2,00","0,00","8.933,00",Sumber Agung Sentosa,Stock On Hand,18 Sep 2022 
1424,0000832,Komix Herbal,Obat Bebas Terbatas,,3,"9,00",Pcs,"23.769,54","0,01%","98,88%",Pareto C,37,"9,00","-28,00","1.966,00",Enseval Putra Megatranding PT,Over Stock,04 Sep 2022 
1425,SRP2,Sirplus Original/Tablet,Obat Bebas Terbatas,,7,"82,00",Tablet,"23.746,23","0,01%","98,89%",Pareto C,257,"82,00","-175,00","187,50",Kalista Prima PT,Over Stock,22 Sep 2022 
1426,ZENI,Zenirex 60 Syr,Obat Bebas Terbatas,,2,"3,00",Botol,"23.527,56","0,01%","98,90%",Pareto C,2,"3,00","1,00","6.252,00",Langkah Insan Mandiri PT,Under Stock,21 Sep 2022 
1427,COTLK03,Tolak Angin TAB/Strip,Obat Bebas Terbatas,,2,"4,00",Strip,"23.478,72","0,01%","98,90%",Pareto C,20,"4,00","-16,00","4.410,25",Mulya Wibawa PT,Over Stock,21 Sep 2022 
1428,0001397,Listerine Zero 250 ml,Obat Bebas Terbatas,,1,"1,00",Botol,"23.412,12","0,01%","98,91%",Pareto C,1,"1,00","0,00","17.550,00",Putra Perdana Khadijah,Stock On Hand,27 Sep 2022 
1429,0000406,Nu Green Tea Original 500ml,Minuman,,4,"4,00",Botol,"23.376,60","0,01%","98,92%",Pareto C,0,"4,00","4,00","4.395,70",Unirama Duta Niaga,Potential Lost,17 Sep 2022 
1430,BENZOL6,Benzolac Cream 5 % 5 G,Obat Bebas Terbatas,,1,"1,00",Tube,"23.311,11","0,01%","98,93%",Pareto C,2,"1,00","-1,00","17.600,00",KDE (Ka Dua Empat PT),Over Stock,02 Sep 2022 
1431,NGT3,NU Green Tea Less Sugar 500 ml,Minuman,,4,"4,00",Botol,"23.278,92","0,01%","98,93%",Pareto C,0,"4,00","4,00","4.394,00",Unirama Duta Niaga,Potential Lost,28 Sep 2022 
1432,OBT2208090001,NOZA TABLET per STRIP 4S,Obat Bebas Terbatas,Flu Batuk Dewasa,5,"6,00",Strip,"23.265,60","0,01%","98,94%",Pareto C,11,"6,00","-5,00","2.900,00",AAM (Anugrah Argon Medica),Over Stock,23 Sep 2022 
1433,LIST7,Listerine Original 250 ml,Obat Bebas Terbatas,,1,"1,00",Botol,"23.035,83","0,01%","98,95%",Pareto C,2,"1,00","-1,00","17.550,00",Sumber Agung Sentosa,Over Stock,27 Sep 2022 
1434,KONIC8,Telon Konicare 60 cc,Obat Bebas Terbatas,,1,"1,00",Botol,"22.963,68","0,01%","98,95%",Pareto C,2,"1,00","-1,00","17.170,00",Langkah Insan Mandiri PT,Over Stock,25 Sep 2022 
1435,L000000000035,Lecozink Tab,Obat Bebas Terbatas,,3,"40,00",Tablet,"22.910,40","0,01%","98,96%",Pareto C,208,"40,00","-168,00","436,36",PT Asa Mulia,Over Stock,27 Sep 2022 
1436,CLOND1,"Clonidin 0,15/10s",Obat Keras,,2,"6,00",Strip,"22.792,74","0,01%","98,97%",Pareto C,7,"6,00","-1,00","2.420,00",Barotama Mulya Perkasa,Over Stock,24 Sep 2022 
1437,0000640,Benecol Rasa Strawberi,Minuman,,1,"3,00",Botol,"22.663,98","0,01%","98,98%",Pareto C,10,"3,00","-7,00","5.704,00",Enseval Putra Megatranding PT,Over Stock,10 Sep 2022 
1438,DERM12,Dermafix-T 10 cm x 12 cm,Obat Bebas Terbatas,,2,"3,00",PC,"22.621,80","0,01%","98,98%",Pareto C,15,"3,00","-12,00","5.681,90",Dwidaya Langgeng Sentosa,Over Stock,22 Sep 2022 
1439,POLD,Poldan Mig strip,Obat Bebas Terbatas,,6,"6,00",Strip,"22.560,75","0,01%","98,99%",Pareto C,35,"6,00","-29,00","2.732,00",BSP (Bina San Prima),Over Stock,21 Sep 2022 
1440,OBT2203250001,PROVIT C 1000 MG,Suplemen,Multivitamin,1,"1,00",Strip,"22.516,35","0,01%","99,00%",Pareto C,5,"1,00","-4,00","17.000,10",Daya Muda Agung PT,Over Stock,25 Sep 2022 
1441,Hans14,Hansaplas Mickey & Princes Amplop,Obat Bebas Terbatas,,2,"2,00",Strip,"22.435,32","0,01%","99,00%",Pareto C,7,"2,00","-5,00","8.469,00",Dwidaya Langgeng Sentosa,Over Stock,16 Sep 2022 
1442,OBT2207200006,Atorvastatin 20 mg LAPI,,,1,"10,00",Tablet,"22.422,00","0,01%","99,01%",Pareto C,56,"10,00","-46,00","1.500,00",Kalista Prima PT,Over Stock,14 Sep 2022 
1443,0000631,Antimo Anak Strawberry,Obat Bebas Terbatas,,3,"16,00",SACHET,"22.253,28","0,01%","99,02%",Pareto C,85,"16,00","-69,00","1.060,00",Victory Indo Partnership PT,Over Stock,23 Sep 2022 
1444,VERMO1,Vermox Strip 1s,Obat Bebas Terbatas,,1,"1,00",Strip,"22.243,29","0,01%","99,03%",Pareto C,5,"1,00","-4,00","16.710,00",Bintang Maahir Sentosa,Over Stock,21 Sep 2022 
1445,rasa,Madurasa Sachet Air Mancur/3,Obat Bebas Terbatas,,5,"8,00",BANDED,"22.242,18","0,01%","99,03%",Pareto C,17,"8,00","-9,00","2.045,50",APL ID 293873,Over Stock,27 Sep 2022 
1446,LASER6,LASERIN MADU ANAK 100ML,Obat Bebas Terbatas,,1,"1,00",Botol,"22.154,49","0,01%","99,04%",Pareto C,2,"1,00","-1,00","16.727,00",Mulya Wibawa PT,Over Stock,07 Sep 2022 
1447,A000000000099,Antangin Habbatussauda Cair/Banded ,Obat Bebas Terbatas,,2,"2,00",BANDED,"21.973,56","0,01%","99,05%",Pareto C,8,"2,00","-6,00","8.295,25",Mulya Wibawa PT,Over Stock,25 Sep 2022 
1448,M000000000133,masker kn95 dr. gray,Alat Kesehatan,,3,"3,00",PC,"21.713,82","0,01%","99,05%",Pareto C,7,"3,00","-4,00","5.500,00",Dwidaya Langgeng Sentosa,Over Stock,08 Sep 2022 
1449,PIRXCM2,Piroxicam 20 mg,Obat Keras,,5,"90,00",KAPSUL,"21.600,60","0,01%","99,06%",Pareto C,111,"90,00","-21,00","120,00",Barotama Mulya Perkasa,Over Stock,25 Sep 2022 
1450,OBT2202190003,Vit D ipi 1000 IU,,,2,"2,00",Botol,"21.600,60","0,01%","99,07%",Pareto C,4,"2,00","-2,00","8.183,45",Tempo PT,Over Stock,29 Sep 2022 
1451,Geno,GENOINT SALEP KULIT 15G,Obat Keras,,2,"3,00",Botol,"21.436,32","0,01%","99,07%",Pareto C,2,"3,00","1,00","4.500,00",Barotama Mulya Perkasa,Under Stock,30 Sep 2022 
1452,C000000000104,SEPTI AIR spray Desinfektan botol 1,Obat Bebas,,1,"1,00",Botol,"21.414,12","0,01%","99,08%",Pareto C,2,"1,00","-1,00","16.000,00",AMS (Antarmitra Sembada),Over Stock,19 Sep 2022 
1453,CRBFG1,Cerebrofort  Gold Orange 100 ML,Obat Bebas Terbatas,,1,"1,00",Botol,"21.315,33","0,01%","99,09%",Pareto C,1,"1,00","0,00","15.545,00",Enseval Putra Megatranding PT,Stock On Hand,19 Sep 2022 
1454,A000000000047,Anabion Plus Syr,Obat Bebas Terbatas,,1,"2,00",Botol,"21.298,68","0,01%","99,09%",Pareto C,4,"2,00","-2,00","7.869,00",Putra Perdana Khadijah,Over Stock,13 Sep 2022 
1455,0000839,Biolysin Smart 100 ml,Obat Bebas Terbatas,,1,"1,00",Botol,"21.223,20","0,01%","99,10%",Pareto C,1,"1,00","0,00","16.000,00",United Dico Citas PT,Stock On Hand,24 Sep 2022 
1456,DIAPT1,Diapet NR Strip,Obat Bebas Terbatas,,5,"7,00",Strip,"21.116,64","0,01%","99,11%",Pareto C,16,"7,00","-9,00","2.248,00",PT Parit Padang Global,Over Stock,30 Sep 2022 
1457,I000000000105,Infus Set Gea,Alat Kesehatan,,3,"4,00",PC,"21.070,02","0,01%","99,11%",Pareto C,4,"4,00","0,00","3.693,70",Via Medica Alkes,Stock On Hand,23 Sep 2022 
1458,I000000000014,Imboost Force ES,Obat Bebas Terbatas,,1,"2,00",Tablet,"21.010,08","0,01%","99,12%",Pareto C,25,"2,00","-23,00","7.931,67",PT Parit Padang Global,Over Stock,16 Sep 2022 
1459,H000000000021,Hot In DCL 60 g,Obat Bebas Terbatas,,1,"1,00",Tube,"20.961,24","0,01%","99,13%",Pareto C,2,"1,00","-1,00","15.700,00",Barotama Mulya Perkasa,Over Stock,11 Sep 2022 
1460,OCU,OCUSON TAB,Obat Keras,,1,"10,00",Tablet,"20.923,50","0,01%","99,13%",Pareto C,90,"10,00","-80,00","1.375,00",BSP (Bina San Prima),Over Stock,14 Sep 2022 
1461,0001008,Sari Asem Ultra 250 ml,Minuman,,3,"4,00",Botol,"20.894,64","0,01%","99,14%",Pareto C,2,"4,00","2,00","4.450,00",Lain-lain Suplayer,Under Stock,26 Sep 2022 
1462,BUFA2,Bufacort N Cr,Obat Keras,,2,"2,00",Tube,"20.873,55","0,01%","99,15%",Pareto C,2,"2,00","0,00","6.583,00",Sumber Agung Sentosa,Stock On Hand,25 Sep 2022 
1463,CERGB1,Cerebrovit Excell/box,Obat Bebas Terbatas,,1,"1,00",Strip,"20.868,00","0,01%","99,15%",Pareto C,0,"1,00","1,00","15.682,00",Enseval Putra Megatranding PT,Potential Lost,28 Sep 2022 
1464,ASM3,Asthma-soho strip,Obat Bebas Terbatas,,3,"8,00",Strip,"20.668,20","0,01%","99,16%",Pareto C,33,"8,00","-25,00","1.944,00",Muda Jaya Sukses,Over Stock,26 Sep 2022 
1465,CPTPL1,"Captopril 12,5/Tablet",Obat Keras,,4,"130,00",Tablet,"20.557,20","0,01%","99,17%",Pareto C,150,"130,00","-20,00","130,00",Barotama Mulya Perkasa,Over Stock,30 Sep 2022 
1466,SYR5,Spuit 50 CC Terumo Lubang Pinggir,Obat Keras,,1,"1,00",PC,"20.512,80","0,01%","99,17%",Pareto C,2,"1,00","-1,00","13.693,69",Via Medica Alkes,Over Stock,30 Sep 2022 
1467,NACL2,NACL 0.9% 25 ml,Obat Keras,,2,"2,00",Botol,"20.468,40","0,01%","99,18%",Pareto C,4,"2,00","-2,00","6.322,00",Merapi Utama Pharma PT,Over Stock,21 Sep 2022 
1468,BENO1,Benoson 5 Cr,Obat Keras,,1,"1,00",Tube,"20.430,66","0,01%","99,18%",Pareto C,3,"1,00","-2,00","13.636,00",Langkah Insan Mandiri PT,Over Stock,29 Sep 2022 
1469,NIFEDP,NIFEDIPIN/Strip10s,Obat Keras,,1,"10,00",Strip,"20.424,00","0,01%","99,19%",Pareto C,13,"10,00","-2,50","1.348,60",AAM (Anugrah Argon Medica),Over Stock,05 Sep 2022 
1470,COD10,Codein 10 mg,Napza,,1,"10,00",Tablet,"20.401,80","0,01%","99,20%",Pareto C,25,"10,00","-14,50","622,70",Kimia Farma PT,Over Stock,04 Sep 2022 
1471,OBT22021800061,KP Dragon 60 ML,,,1,"1,00",Botol,"20.345,19","0,01%","99,20%",Pareto C,0,"1,00","1,00","15.500,00",Putra Perdana Khadijah,Potential Lost,10 Sep 2022 
1472,LPK,K3 Kaleng Leci,Minuman,,3,"3,00",KALENG,"20.310,78","0,01%","99,21%",Pareto C,6,"3,00","-3,00","5.084,00",Muda Jaya Sukses,Over Stock,23 Sep 2022 
1473,0000206,Tissue Tessa TP-01,Alat Kesehatan,,1,"1,00",PC,"20.285,25","0,01%","99,22%",Pareto C,0,"1,00","1,00","15.315,00",Lain-lain Suplayer,Potential Lost,03 Sep 2022 
1474,0001346,K3 Kaleng Melon,Minuman,,2,"3,00",KALENG,"20.199,78","0,01%","99,22%",Pareto C,2,"3,00","1,00","5.084,00",Muda Jaya Sukses,Under Stock,28 Sep 2022 
1475,pagoda,Salep Pagoda,Obat Bebas Terbatas,,3,"3,00",Tube,"20.199,78","0,01%","99,23%",Pareto C,3,"3,00","0,00","5.000,00",Sumber Agung Sentosa,Stock On Hand,21 Sep 2022 
1476,KAN2,Kanna Cr 30 G,Obat Bebas Terbatas,,1,"1,00",Tube,"20.165,37","0,01%","99,24%",Pareto C,3,"1,00","-2,00","15.225,00",Muda Jaya Sukses,Over Stock,19 Sep 2022 
1477,E000000000027,Esemag Cair,Obat Bebas Terbatas,,2,"10,00",SACHET,"19.891,20","0,01%","99,24%",Pareto C,20,"10,00","-10,00","1.495,40",Mulya Wibawa PT,Over Stock,15 Sep 2022 
1478,MKPK01,Kapak 3 cc,Obat Bebas Terbatas,,3,"3,00",Botol,"19.690,29","0,01%","99,25%",Pareto C,3,"3,00","0,00","4.955,00",Barotama Mulya Perkasa,Stock On Hand,24 Sep 2022 
1479,BLSLA,Balsem lang 20 g,Obat Bebas Terbatas,,2,"2,00",POT,"19.649,22","0,01%","99,25%",Pareto C,5,"2,00","-3,00","7.250,00",Mulya Wibawa PT,Over Stock,14 Sep 2022 
1480,SUMA,Sumagesic/Strip,Obat Bebas Terbatas,,5,"7,00",Strip,"19.538,22","0,01%","99,26%",Pareto C,35,"7,00","-28,00","2.083,20",APL ID 293873,Over Stock,12 Sep 2022 
1481,CENX08,C Conver TM 15 ml,Obat Keras,,1,"1,00",Botol,"19.530,45","0,01%","99,27%",Pareto C,3,"1,00","-2,00","13.000,00",KDE (Ka Dua Empat PT),Over Stock,02 Sep 2022 
1482,VISAN,Visancort cr 10 gr,Obat Keras,,1,"1,00",Tube,"19.528,23","0,01%","99,27%",Pareto C,1,"1,00","0,00","13.000,00",BSP (Bina San Prima),Stock On Hand,02 Sep 2022 
1483,M000000000052,Madu TJ Sachet Original Banded/3,Obat Bebas Terbatas,,4,"7,00",BANDED,"19.527,12","0,01%","99,28%",Pareto C,8,"7,00","-1,00","2.100,00",Barotama Mulya Perkasa,Over Stock,24 Sep 2022 
1484,LAP1,Lapistan 500 mg,Obat Keras,,1,"10,00",KAPSUL,"19.480,50","0,01%","99,28%",Pareto C,33,"10,00","-23,00","1.300,00",Combi Putra PT,Over Stock,06 Sep 2022 
1485,ST,Supertetra,Obat Keras,,1,"10,00",Tablet,"19.469,40","0,01%","99,29%",Pareto C,97,"10,00","-87,00","1.178,33",Langkah Insan Mandiri PT,Over Stock,18 Sep 2022 
1486,G000000000018,Glimepiride 1 mg Kimia Farma/10,Obat Keras,,1,"2,00",Strip,"19.425,00","0,01%","99,30%",Pareto C,3,"2,00","-1,00","6.500,00",,Over Stock,11 Sep 2022 
1487,MIXGR1,Mixagrip Flu dan Batuk,Obat Bebas Terbatas,,5,"7,00",Strip,"19.385,04","0,01%","99,30%",Pareto C,29,"7,00","-22,00","2.027,28",Muda Jaya Sukses,Over Stock,19 Sep 2022 
1488,OBT2209280001,Phenol Glycerol 30ml,,,1,"1,00",Botol,"19.368,39","0,01%","99,31%",Pareto C,0,"1,00","1,00","11.711,00",Lain-lain Suplayer,Potential Lost,29 Sep 2022 
1489,G000000000002,Gpu Krim 150 gr,Obat Bebas Terbatas,,1,"1,00",Tube,"19.316,22","0,01%","99,31%",Pareto C,3,"1,00","-2,00","14.584,00",Mulya Wibawa PT,Over Stock,09 Sep 2022 
1490,ANAK2,Telon 3 anak 60 cc,Obat Bebas Terbatas,,1,"1,00",Botol,"19.266,27","0,01%","99,32%",Pareto C,4,"1,00","-3,00","14.546,00",Langkah Insan Mandiri PT,Over Stock,02 Sep 2022 
1491,PLNT,PLANOTAB PIL,Obat Keras,,3,"3,00",Strip,"19.189,68","0,01%","99,33%",Pareto C,21,"3,00","-18,00","5.000,00",Barotama Mulya Perkasa,Over Stock,20 Sep 2022 
1492,BODR2,Bodrex Flu dan Batuk kering/strip,Obat Bebas Terbatas,,6,"9,00",Strip,"19.120,86","0,01%","99,33%",Pareto C,29,"9,00","-20,00","1.549,55",Tempo PT,Over Stock,29 Sep 2022 
1493,OSKD,Oskadon,Obat Bebas Terbatas,,5,"10,00",Strip,"19.058,70","0,01%","99,34%",Pareto C,26,"10,00","-16,00","1.413,64",Muda Jaya Sukses,Over Stock,25 Sep 2022 
1494,C000000000076,CURCUMA GO TALZ,Obat Bebas Terbatas,,1,"1,00",Botol,"18.939,93","0,01%","99,34%",Pareto C,1,"1,00","0,00","14.300,00",PT Parit Padang Global,Stock On Hand,23 Sep 2022 
1495,PRIM1,Primadol Tab,Obat Keras,,1,"10,00",Tablet,"18.936,60","0,01%","99,35%",Pareto C,40,"10,00","-30,00","1.250,00",,Over Stock,20 Sep 2022 
1496,0000582,Mometasone cream Generik 5g,Obat Keras,,1,"1,00",Tube,"18.932,16","0,01%","99,36%",Pareto C,5,"1,00","-3,50","12.500,00",AMS (Antarmitra Sembada),Over Stock,05 Sep 2022 
1497,BDX,Bodrexin Tab,Obat Bebas Terbatas,,8,"64,00",Tablet,"18.874,44","0,01%","99,36%",Pareto C,56,"64,00","8,00","196,28",Tempo PT,Under Stock,30 Sep 2022 
1498,Diltiaz,Diltiazem Tab,Obat Keras,,2,"60,00",Tablet,"18.870,00","0,01%","99,37%",Pareto C,120,"60,00","-60,00","220,00",Barotama Mulya Perkasa,Over Stock,22 Sep 2022 
1499,LP3,Leukoplast 2.5 X 4.5 M,Obat Bebas Terbatas,,1,"1,00",PC,"18.609,15","0,01%","99,37%",Pareto C,1,"1,00","0,00","15.500,00",Dwidaya Langgeng Sentosa,Stock On Hand,18 Sep 2022 
1500,N000000000019,Nourish Skin Acne Plast Boy,Obat Bebas Terbatas,,1,"1,00",PC,"18.543,66","0,01%","99,38%",Pareto C,4,"1,00","-3,00","14.000,00",AMS (Antarmitra Sembada),Over Stock,22 Sep 2022 
1501,C000000000121,Clobetasol Cr 10 gr,Obat Keras,,1,"1,00",Botol,"18.445,98","0,01%","99,39%",Pareto C,5,"1,00","-4,00","12.000,00",Apotek UII Farma,Over Stock,22 Sep 2022 
1502,HEPTS,Heptasan,Obat Keras,,2,"30,00",Tablet,"18.392,70","0,01%","99,39%",Pareto C,84,"30,00","-54,00","375,00",BSP (Bina San Prima),Over Stock,28 Sep 2022 
